rank,label,matt_luke_cos,centred_cos,residual_sim
1,Serving two masters,0.9945,0.9833,0.9853
2,Lament over Jerusalem,0.9876,0.9150,0.9363
3,Return of unclean spirit,0.9856,0.8869,0.8924
4,Lamp of the body,0.9657,0.8827,0.8971
5,Hidden from wise revealed,0.9797,0.8618,0.8949
6,Lord's Prayer,0.9698,0.8580,0.8794
7,Thief in the night,0.9696,0.8378,0.8644
8,Woes on Galilean cities,0.9692,0.8147,0.8513
9,Anxieties about life,0.9808,0.8083,0.8665
10,Sign of Jonah,0.9684,0.7900,0.8360
11,Jesus on John,0.9896,0.7870,0.8546
12,Faithful servant,0.9735,0.7866,0.8302
13,Harvest plentiful,0.9388,0.7705,0.8257
14,Beatitudes,0.9516,0.7576,0.8220
15,Fear of God not men,0.9751,0.7339,0.8112
16,Many come from east west,0.9410,0.7269,0.7814
17,Mustard seed and leaven,0.9567,0.7199,0.7803
18,Settling with opponent,0.9481,0.7148,0.7571
19,Love of enemies,0.9506,0.6934,0.7416
20,Salt of the earth,0.9330,0.6841,0.7341
21,Mission discourse,0.9646,0.6767,0.7763
22,John's question from prison,0.9717,0.6660,0.7026
23,Talents / Minas,0.9706,0.6534,0.6865
24,Temptation narrative (full),0.9738,0.6475,0.6857
25,Centurion's servant,0.9696,0.5681,0.6261
26,Lost sheep,0.9429,0.5158,0.5831
27,Day of the Son of Man,0.9058,0.4970,0.5727
28,Reading the signs,0.9167,0.4938,0.5877
29,Conditions of discipleship,0.8365,0.4890,0.5216
30,Blasphemy Holy Spirit,0.9159,0.4465,0.5462
31,John's preaching,0.9288,0.4307,0.6251
32,Judging twelve tribes,0.8776,0.4133,0.4986
33,Not peace but sword,0.8306,0.3437,0.4340
34,Leaven of Pharisees,0.9119,0.3286,0.4432
35,Parable of Great Banquet,0.9560,0.2795,0.3923
36,Narrow gate,0.8235,0.1799,0.2754
