label,matt_luke_cos,matt_luke_ang,deviation_from_sig_a,residual_sim,q_score,q_score_norm
John's preaching,0.9288,0.1208,-0.0183,0.6251,0.8681,0.5532
Temptation narrative (full),0.9738,0.073,0.0266,0.6857,0.9162,0.7258
Beatitudes,0.9516,0.0995,0.0044,0.822,0.9256,0.7597
Love of enemies,0.9506,0.1004,0.0035,0.7416,0.9088,0.6994
Lord's Prayer,0.9698,0.0784,0.0226,0.8794,0.9517,0.8532
Anxieties about life,0.9808,0.0624,0.0337,0.8665,0.958,0.8756
Narrow gate,0.8235,0.192,-0.1237,0.2754,0.7139,0.0
Centurion's servant,0.9696,0.0787,0.0224,0.6261,0.9009,0.6709
John's question from prison,0.9717,0.076,0.0245,0.7026,0.9179,0.7318
Jesus on John,0.9896,0.046,0.0424,0.8546,0.9626,0.8922
Woes on Galilean cities,0.9692,0.0792,0.0221,0.8513,0.9456,0.8315
Hidden from wise revealed,0.9797,0.0642,0.0326,0.8949,0.9628,0.8929
Mission discourse,0.9646,0.085,0.0174,0.7763,0.9269,0.7642
Harvest plentiful,0.9388,0.112,-0.0084,0.8257,0.9162,0.7258
Sign of Jonah,0.9684,0.0802,0.0213,0.836,0.9419,0.8182
Return of unclean spirit,0.9856,0.0541,0.0384,0.8924,0.967,0.9079
Lamp of the body,0.9657,0.0836,0.0186,0.8971,0.952,0.8543
Leaven of Pharisees,0.9119,0.1346,-0.0353,0.4432,0.8181,0.3741
Fear of God not men,0.9751,0.0712,0.0279,0.8112,0.9423,0.8196
Blasphemy Holy Spirit,0.9159,0.1315,-0.0313,0.5462,0.8419,0.4594
Thief in the night,0.9696,0.0786,0.0225,0.8644,0.9486,0.842
Faithful servant,0.9735,0.0734,0.0263,0.8302,0.9448,0.8286
Not peace but sword,0.8306,0.188,-0.1166,0.434,0.7512,0.1341
Reading the signs,0.9167,0.1308,-0.0304,0.5877,0.8509,0.4917
Settling with opponent,0.9481,0.103,0.001,0.7571,0.9099,0.7033
Mustard seed and leaven,0.9567,0.094,0.0095,0.7803,0.9214,0.7446
Many come from east west,0.941,0.1099,-0.0062,0.7814,0.9091,0.7003
Lament over Jerusalem,0.9876,0.0501,0.0405,0.9363,0.9774,0.9452
Parable of Great Banquet,0.956,0.0948,0.0088,0.3923,0.8433,0.4642
Conditions of discipleship,0.8365,0.1846,-0.1107,0.5216,0.7735,0.2139
Salt of the earth,0.933,0.1171,-0.0141,0.7341,0.8933,0.6435
Lost sheep,0.9429,0.108,-0.0042,0.5831,0.871,0.5636
Serving two masters,0.9945,0.0335,0.0473,0.9853,0.9926,1.0
Day of the Son of Man,0.9058,0.1393,-0.0414,0.5727,0.8392,0.4494
Talents / Minas,0.9706,0.0773,0.0235,0.6865,0.9138,0.7173
Judging twelve tribes,0.8776,0.1591,-0.0695,0.4986,0.8018,0.3155
